Qty,Value,Device,Package,Parts,Description
1,,C_CHIP-0603(1608-METRIC),CAPC1608X85,C38,Capacitor - Generic
1,,L_CHIP-0805(2012-METRIC),INDC2009X120,L1,Inductor Fixed - Generic
1,,MA13-2,MA13-2,SV1,PIN HEADER
16,,TESTPOINTROUND1.5MM,TESTPOINT_ROUND_1.5MM,"TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18",Test Point
1,68711014022,6871XX14022_68711014022,68711014022,J5,WR-FPC 0.50 mm SMT ZIF Horizontal Top Contact
29,0.1uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C4, C7, C8, C9, C11, C12, C13, C14, C15, C17, C18, C20, C21, C25, C26, C30, C31, C32, C33, C34, C35, C36, C37, C42, C43, C44, C45, C46, C47",Capacitor - Generic
2,0R,R_CHIP-0402(1005-METRIC),RESC1005X40,"R10, R27",Resistor Fixed - Generic
1,100K,R-EU_R0402:1,R0402:1,R29,"RESISTOR, European symbol"
1,100K,R_CHIP-0402(1005-METRIC),RESC1005X40,R1,Resistor Fixed - Generic
2,100R,R_CHIP-0402(1005-METRIC),RESC1005X40,"R19, R20",Resistor Fixed - Generic
2,10K,R_CHIP-0402(1005-METRIC),RESC1005X40,"R8, R30",Resistor Fixed - Generic
1,10R,R_CHIP-0402(1005-METRIC),RESC1005X40,R15,Resistor Fixed - Generic
4,10uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,"C39, C40, C41, C51",Capacitor - Generic
4,10uH,L_CHIP-0603(1608-METRIC),INDC1608X95N,"L2, L3, L4, L5",Inductor Fixed - Generic
1,12MHz,XTAL-4-3225,NX3225,Q2,Classic 4-pin 3.2 x 2.5mm crystal
2,15pF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C22, C23",Capacitor - Generic
1,0805L100WR,1812L0805L,WE-PMI_0805LP,F1,1812L Series PTC provides surface mount overcurrent protection for applications where resettable protection is desired.
2,1K,R_CHIP-0402(1005-METRIC),RESC1005X40,"R16, R18",Resistor Fixed - Generic
8,2.2uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C2, C5, C6, C19, C24, C27, C28, C29",Capacitor - Generic
1,2.2uF,C_CHIP-0402(1005-METRIC):1,CAPC1005X60:1,C48,Capacitor - Generic
1,2.2uH,L_CHIP-0806(2016-METRIC),INDC2016X200,L8,Inductor Fixed - Generic
1,220R,R_CHIP-0402(1005-METRIC),RESC1005X40,R9,Resistor Fixed - Generic
